name,path,activity,type,bodyPart,description,thumbnailUrl
2023 bc001,10011090/día 1/2023_bc001.mp4,Press de banca - Barra,strength,"""Pecho","""Pecho, Tríceps, Hombros parte delantera""",
2023 cm005,10011090/día 1/2023_cm005.mp4,Cinta de correr 8 km/h ~ 5 mph,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 cw003,10011090/día 1/2023_cw003.mp4,Jumping jacks,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Cuerpo completo""",
2023 gt001,10011090/día 1/2023_gt001.mp4,Extension de codo - Polea,strength,Tríceps,Tríceps,
2023 herman032,10011090/día 1/2023_herman032.mp4,Extension de codo de pie - Mancuerna,strength,Tríceps,Tríceps,
2023 id0106,10011090/día 1/2023_id0106.mp4,Sentadilla multipower Máquina de Smith,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas, Zona lumbar""",
2023 id1315,10011090/día 1/2023_id1315.mp4,Burpee con salto,strength,"""Abdominales - Abdominales rectos","""Abdominales - Abdominales rectos, Cuádriceps, Glúteos, Corvas""",
2023 oa031,10011090/día 1/2023_oa031.mp4,Curl martillo,strength,Bíceps,Bíceps,
2023 oa041,10011090/día 1/2023_oa041.mp4,Curl de bíceps - Polea,strength,Bíceps,Bíceps,
2023 oa057,10011090/día 1/2023_oa057.mp4,Prensa a 45 grados,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",
2023 ozp032,10011090/día 1/2023_ozp032.mp4,Saltos - Caja,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas, Zona lumbar""",
2023 xa029,10011090/día 1/2023_xa029.mp4,Repeticiones de plancha,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xl001,10011090/día 1/2023_xl001.mp4,Sentadillas autocarga,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas, Zona lumbar""",
2023 cm005,10011090/día 2/2023_cm005.mp4,Cinta de correr 8 km/h ~ 5 mph,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 ds001,10011090/día 2/2023_ds001.mp4,Elevaciones laterales de pie - mancuernas,strength,Hombros,Hombros,
2023 gb002,10011090/día 2/2023_gb002.mp4,Jalon al pecho,strength,"""Dorsales","""Dorsales, Bíceps, Espalda""",
2023 id2638,10011090/día 2/2023_id2638.mp4,Jumping jack - Bosu,strength,"""Sistema cardiovascular","""Sistema cardiovascular, Hombros parte central, Gemelos, Glúteos, Cuádriceps, Abductor""",
2023 impact147,10011090/día 2/2023_impact147.mp4,Elevaciones laterales en rotación externa - Mancuernas,strength,"""Hombros","""Hombros, Antebrazos""",10011090/día 2/images/3167082268.png
2023 ke012,10011090/día 2/2023_ke012.mp4,Balanceo - Kettlebell,strength,"""Hombros","""Hombros, Cuádriceps, Glúteos, Zona lumbar, Todos los abdominales""",
2023 oa100,10011090/día 2/2023_oa100.mp4,Press de hombros sentado - Mancuernas,strength,Hombros,Hombros,
2023 sid0001,10011090/día 2/2023_sid0001.mp4,Remo T-Bar - Barra,strength,"""Zona cervical","""Zona cervical, Hombros parte trasera, Bíceps, Dorsales""",
2023 sid0002,10011090/día 2/2023_sid0002.mp4,Remo en polea baja- Polea,strength,"""Zona cervical","""Zona cervical, Bíceps, Hombros parte trasera, Dorsales""",
2023 sid0012,10011090/día 2/2023_sid0012.mp4,Extensión de piernas sentado,strength,Cuádriceps,Cuádriceps,
2023 cm001,10031897/día 1/2023_cm001.mp4,"""Máquina de remos","Intensidad baja""",cardio,"cardio,""Sistema cardiovascular, Cuerpo completo""",
2023 cm002,10031897/día 1/2023_cm002.mp4,Entrenador elíptico,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Cuerpo completo""",
2023 cm005,10031897/día 1/2023_cm005.mp4,Cinta de correr,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 gl001,10031897/día 1/2023_gl001.mp4,Prensa de piernas sentado,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",
2023 oa052,10031897/día 1/2023_oa052.mp4,Bicicleta estática,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 xa002,10031897/día 1/2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xa032,10031897/día 1/2023_xa032.mp4,Bicicleta (sentado),strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xc004,10031897/día 1/2023_xc004.mp4,Planchas apoyado en las rodillas,strength,"""Pecho","""Pecho, Tríceps""",
2023 cm001,10031897/día 2/2023_cm001.mp4,"""Máquina de remos","Intensidad baja""",cardio,"cardio,""Sistema cardiovascular, Cuerpo completo""",
2023 cm002,10031897/día 2/2023_cm002.mp4,Entrenador elíptico,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Cuerpo completo""",
2023 cm005,10031897/día 2/2023_cm005.mp4,Cinta de correr,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 gl001,10031897/día 2/2023_gl001.mp4,Prensa de piernas sentado,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",
2023 oa052,10031897/día 2/2023_oa052.mp4,Bicicleta estática,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 xa002,10031897/día 2/2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xa032,10031897/día 2/2023_xa032.mp4,Bicicleta (sentado),strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xc004,10031897/día 2/2023_xc004.mp4,Planchas apoyado en las rodillas,strength,"""Pecho","""Pecho, Tríceps""",
2023 bc001,10080627/día 1/2023_bc001.mp4,Press de banca - Barra,strength,"""Pecho","""Pecho, Tríceps, Hombros parte delantera""",
2023 cm001,10080627/día 1/2023_cm001.mp4,"""Máquina de remos","Intensidad baja""",cardio,"cardio,""Sistema cardiovascular, Cuerpo completo""",
2023 cm005,10080627/día 1/2023_cm005.mp4,Cinta de correr 8 km/h ~ 5 mph,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 cw003,10080627/día 1/2023_cw003.mp4,Jumping jacks,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Cuerpo completo""",
2023 equip007,10080627/día 1/2023_equip007.mp4,Pajaros en maquina,strength,Zona cervical,Zona cervical,
2023 gl001,10080627/día 1/2023_gl001.mp4,Prensa de piernas sentado,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",
2023 id1315,10080627/día 1/2023_id1315.mp4,Burpee con salto,strength,"""Abdominales - Abdominales rectos","""Abdominales - Abdominales rectos, Cuádriceps, Glúteos, Corvas""",
2023 oa024,10080627/día 1/2023_oa024.mp4,Remo al cuello - Barra,strength,"""Hombros parte central","""Hombros parte central, Zona cervical, Hombros parte delantera, Bíceps""",
2023 ozp032,10080627/día 1/2023_ozp032.mp4,Saltos - Caja,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas, Zona lumbar""",
2023 sid0002,10080627/día 1/2023_sid0002.mp4,Remo en polea baja- Polea,strength,"""Zona cervical","""Zona cervical, Bíceps, Hombros parte trasera, Dorsales""",
2023 sid0161,10080627/día 1/2023_sid0161.mp4,Press de banca neutra inclinado - Mancuernas,strength,"""Pecho superior","""Pecho superior, Tríceps, Hombros parte delantera, Pecho""",
2023 xa029,10080627/día 1/2023_xa029.mp4,Repeticiones de plancha,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 cm001,10080627/día 2/2023_cm001.mp4,Máquina de remos,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Cuerpo completo""",
2023 cm005,10080627/día 2/2023_cm005.mp4,Cinta de correr 8 km/h ~ 5 mph,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 cw003,10080627/día 2/2023_cw003.mp4,Saltos de tijera,strength,Sistema cardiovascular,Sistema cardiovascular,
2023 dc001,10080627/día 2/2023_dc001.mp4,Aperturas - Mancuernas,strength,Pecho,Pecho,
2023 gb002,10080627/día 2/2023_gb002.mp4,Jalon al pecho,strength,"""Dorsales","""Dorsales, Bíceps, Espalda""",
2023 id0106,10080627/día 2/2023_id0106.mp4,Sentadilla multipower Máquina de Smith,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas, Zona lumbar""",
2023 id0254,10080627/día 2/2023_id0254.mp4,Jalón dorsal agarre supino,strength,"""Dorsales","""Dorsales, Bíceps, Espalda""",
2023 id2638,10080627/día 2/2023_id2638.mp4,Jumping jack - Bosu,strength,"""Sistema cardiovascular","""Sistema cardiovascular, Hombros parte central, Gemelos, Glúteos, Cuádriceps, Abductor""",
2023 impact107,10080627/día 2/2023_impact107.mp4,Senadilla con press - Mancuernas,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Hombros, Tríceps""",
2023 oa016,10080627/día 2/2023_oa016.mp4,Curl de bíceps de pie - EZ bar,strength,Bíceps,Bíceps,
2023 oa100,10080627/día 2/2023_oa100.mp4,Press de hombros sentado - Mancuernas,strength,Hombros,Hombros,
2023 sid0012,10080627/día 2/2023_sid0012.mp4,Extensión de piernas sentado,strength,Cuádriceps,Cuádriceps,
2023 bc001,10080627/día 3/2023_bc001.mp4,Press de banca - Barra,strength,"""Pecho","""Pecho, Tríceps, Hombros parte delantera""",
2023 cm001,10080627/día 3/2023_cm001.mp4,"""Máquina de remos","Intensidad baja""",cardio,"cardio,""Sistema cardiovascular, Cuerpo completo""",
2023 cm005,10080627/día 3/2023_cm005.mp4,Cinta de correr 8 km/h ~ 5 mph,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas""",
2023 cw003,10080627/día 3/2023_cw003.mp4,Jumping jacks,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Cuerpo completo""",
2023 equip007,10080627/día 3/2023_equip007.mp4,Pajaros en maquina,strength,Zona cervical,Zona cervical,
2023 gl001,10080627/día 3/2023_gl001.mp4,Prensa de piernas sentado,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",
2023 id1315,10080627/día 3/2023_id1315.mp4,Burpee con salto,strength,"""Abdominales - Abdominales rectos","""Abdominales - Abdominales rectos, Cuádriceps, Glúteos, Corvas""",
