thumbnailId,videoId_x,activity,type,bodypart,plan_id,day_id,day_name,videourl,videoId_y,planId,dayName,thumbnailFound,thumbnailUploaded,thumbnailUrl
3076772393,2023_cw003.mp4,Jumping jacks,cardio,"Sistema cardiovascular, Cuerpo completo",9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_cw003.mp4,2023_cw003.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772393.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A16Z&se=2035-03-26T22%3A10%3A16Z&spr=https&sig=FJFoW4mOKkNCyz3p4o19v689zplZ9c42GC66SPCxjIg=
3076772392,2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos ,9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_xa002.mp4,2023_xa002.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772392.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A16Z&se=2035-03-26T22%3A10%3A16Z&spr=https&sig=VOtbxRWh1/D9oyEUVCBUYLaofEBJBR4neEUH4bZd0mQ=
3076772391,2023_cw003.mp4,Jumping jacks,cardio,"Sistema cardiovascular, Cuerpo completo",9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_cw003.mp4,2023_cw003.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772391.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A16Z&se=2035-03-26T22%3A10%3A16Z&spr=https&sig=1uvhgPdYtJ+sDWb60TDXJA8DMDRsLMULXSWwHc/pyEs=
3076772390,2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos ,9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_xa002.mp4,2023_xa002.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772390.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A17Z&se=2035-03-26T22%3A10%3A17Z&spr=https&sig=/nv1FTVriD8p/WHRenbTltNMQa+xTHJpN1TnPBigj2A=
3076772389,2023_oa040.mp4,Press de banca inclinado máquina de Smith,strength,"Pecho superior, Pecho, Tríceps, Hombros parte delantera",9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_oa040.mp4,2023_oa040.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772389.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A17Z&se=2035-03-26T22%3A10%3A17Z&spr=https&sig=acvG5TP2kbwDHRWUdW0W8hCcn8y65uffY5YBmfF5xjc=
3076772388,2023_gc003.mp4,Contractora,strength,Pecho ,9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_gc003.mp4,2023_gc003.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772388.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A17Z&se=2035-03-26T22%3A10%3A17Z&spr=https&sig=lrxjjy+3xwXFIWGEp8wznMwgWSoBDFuWDo7P4nNV750=
3076772387,2023_cw003.mp4,Jumping jacks,cardio,"Sistema cardiovascular, Cuerpo completo",9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_cw003.mp4,2023_cw003.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772387.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A17Z&se=2035-03-26T22%3A10%3A17Z&spr=https&sig=4UmTkNqtW+zwegkpmYzUNuOTrm7xGGGXfwXz6yVXIrQ=
3076772386,2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos ,9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_xa002.mp4,2023_xa002.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772386.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A17Z&se=2035-03-26T22%3A10%3A17Z&spr=https&sig=Vki6VEuFAbVyWYyXChm38mCvJgKm7UJRGyG/7+XDS1U=
3076772385,2023_cw003.mp4,Jumping jacks,cardio,"Sistema cardiovascular, Cuerpo completo",9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_cw003.mp4,2023_cw003.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772385.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A18Z&se=2035-03-26T22%3A10%3A18Z&spr=https&sig=6mrJw2cYWi0bHQnI1UgzPfMNbGM1BfjZnE4LoP+IDQc=
3076772384,2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos ,9829516,18220897,día 1,https://sagafit.blob.core.windows.net/sagafitvideos/9829516/día 1/2023_xa002.mp4,2023_xa002.mp4,9829516,día 1,1.0,1.0,https://sagafit.blob.core.windows.net/sagathumbnails/9829516/d%C3%ADa%201/images/3076772384.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A10%3A18Z&se=2035-03-26T22%3A10%3A18Z&spr=https&sig=V1PAA4Ud8FkXbQFOm0DTlykAtSDQQ+7ZLc1qQJ7Xx5g=
