videoId,videoImg,videovalue,videoactivity,videotype,videodescription,plan_url,plan_id,day_id,day_name
3076772393_text,https://sagafit.virtuagym.com/thumb/activity/picture/36676b8a645de0b2a6fda70bb03d463ab797.png,2023_cw003.mp4,Jumping jacks,cardio,"Sistema cardiovascular, Cuerpo completo",https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772392_text,https://sagafit.virtuagym.com/thumb/activity/picture/213e1b1143b856b61ce43fdfc2c8f269c5e0.png,2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos ,https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772391_text,https://sagafit.virtuagym.com/thumb/activity/picture/36676b8a645de0b2a6fda70bb03d463ab797.png,2023_cw003.mp4,Jumping jacks,cardio,"Sistema cardiovascular, Cuerpo completo",https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772390_text,https://sagafit.virtuagym.com/thumb/activity/picture/213e1b1143b856b61ce43fdfc2c8f269c5e0.png,2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos ,https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772389_text,https://sagafit.virtuagym.com/thumb/activity/picture/b9c40b3d75ac5a40d789fd07c9c60d0fe23c.png,2023_oa040.mp4,Press de banca inclinado máquina de Smith,strength,"Pecho superior, Pecho, Tríceps, Hombros parte delantera",https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772388_text,https://sagafit.virtuagym.com/thumb/activity/picture/b02f2a08c64577199c06ad3eb592e5dcbee4.png,2023_gc003.mp4,Contractora,strength,Pecho ,https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772387_text,https://sagafit.virtuagym.com/thumb/activity/picture/36676b8a645de0b2a6fda70bb03d463ab797.png,2023_cw003.mp4,Jumping jacks,cardio,"Sistema cardiovascular, Cuerpo completo",https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772386_text,https://sagafit.virtuagym.com/thumb/activity/picture/213e1b1143b856b61ce43fdfc2c8f269c5e0.png,2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos ,https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772385_text,https://sagafit.virtuagym.com/thumb/activity/picture/36676b8a645de0b2a6fda70bb03d463ab797.png,2023_cw003.mp4,Jumping jacks,cardio,"Sistema cardiovascular, Cuerpo completo",https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772384_text,https://sagafit.virtuagym.com/thumb/activity/picture/213e1b1143b856b61ce43fdfc2c8f269c5e0.png,2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos ,https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772383_text,https://sagafit.virtuagym.com/thumb/activity/picture/e2c8146b0723bc1e8f4ab60aad354a25846d.png,2023_dc004.mp4,Press de banca inclinado - Mancuernas,strength,"Pecho superior, Hombros, Tríceps",https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
3076772382_text,https://sagafit.virtuagym.com/thumb/activity/picture/c85920f89b8c9ef3921c4d37bc4bfa81160d.png,2023_oa069.mp4,Pullover con brazos doblados - Con pesa,strength,"Pecho, Tríceps, Dorsales",https://sagafit.virtuagym.com/user/anassharboulica-3a9f3e2f/exercise/workout-player?plan_id=9829516&day_id=18220897,9829516,18220897,día 1
